day,time,name,lat,lng,depth,m
2016/04/16,2:11:49,大分県中部,33.253,131.367,-7,2.3
2016/04/16,2:11:48,熊本県熊本地方,32.685,130.718,-14,3.3
2016/04/16,2:12:38,熊本県熊本地方,32.667,130.717,-13,3.6
2016/04/16,2:13:59,熊本県阿蘇地方,32.953,131.068,-11,2.7
2016/04/16,2:14:12,大分県中部,33.268,131.334,-10,3.1
2016/04/16,2:14:17,熊本県熊本地方,32.735,130.767,-14,4
2016/04/16,2:15:11,熊本県熊本地方,32.7,130.75,-10,3.4
2016/04/16,2:15:28,大分県中部,33.268,131.319,-8,2.5
2016/04/16,2:15:36,熊本県阿蘇地方,32.986,131.018,-7,3.2
2016/04/16,2:16:25,熊本県阿蘇地方,32.951,131.101,-8,3.4
2016/04/16,2:17:13,熊本県熊本地方,32.751,130.753,-13,3.7
2016/04/16,2:17:20,大分県中部,33.236,131.383,-12,3.6
2016/04/16,2:17:37,熊本県阿蘇地方,32.968,131.1,-5,3.1
2016/04/16,2:17:55,熊本県熊本地方,32.851,130.851,-11,3.8
2016/04/16,2:18:29,大分県中部,33.234,131.351,-9,3.1
2016/04/16,2:19:07,熊本県熊本地方,32.668,130.685,-15,2.9
2016/04/16,2:19:10,熊本県阿蘇地方,32.951,131.1,-12,2.7
2016/04/16,2:19:57,熊本県阿蘇地方,33.067,131.168,-10,2.6
2016/04/16,2:20:59,熊本県熊本地方,32.801,130.836,-9,3.5
2016/04/16,2:21:11,大分県中部,33.285,131.368,-10,3
2016/04/16,2:21:39,熊本県熊本地方,32.834,130.819,-13,3.2
2016/04/16,2:21:56,大分県中部,33.284,131.468,-7,2.2
2016/04/16,2:22:19,大分県中部,33.235,131.336,-9,2.8
2016/04/16,2:23:06,熊本県熊本地方,32.734,130.751,-11,2.8
2016/04/16,2:23:18,熊本県阿蘇地方,32.951,131.086,-10,3.2
2016/04/16,2:23:32,有明海,32.751,130.602,-13,2.8
2016/04/16,2:23:37,大分県西部,33.118,131.185,-5,3
2016/04/16,2:23:42,大分県中部,33.285,131.45,-5,2.6
2016/04/16,2:23:57,熊本県阿蘇地方,32.935,131.069,-10,3.1
2016/04/16,2:24:29,大分県中部,33.268,131.369,-8,2.2
2016/04/16,2:24:51,熊本県阿蘇地方,32.952,131.084,-11,2.5
2016/04/16,2:24:59,熊本県熊本地方,32.818,130.868,-13,3.1
2016/04/16,2:25:10,大分県西部,33.118,131.184,-6,2.8
2016/04/16,2:25:51,大分県中部,33.235,131.368,-9,3.1
